grading_model,student,question,n_runs,mean_score,score_sd,CodeExecution_mention_pct,CodeExecution_deduction_pct,ProcessFidelity_mention_pct,ProcessFidelity_deduction_pct,OutputAccuracy_mention_pct,OutputAccuracy_deduction_pct
qwen_qwen3.6-27b,student_b,Q9,50,1.22,0.418,98.0,58.0,94.0,94.0,16.0,16.0
qwen_qwen3.6-27b,student_c,Q1,50,2.0,0.0,100.0,6.0,4.0,4.0,100.0,100.0
qwen_qwen3.6-27b,student_c,Q10,50,1.12,0.328,52.0,30.0,100.0,100.0,50.0,46.0
qwen_qwen3.6-27b,student_c,Q2,50,3.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0
qwen_qwen3.6-27b,student_c,Q3,50,2.32,0.471,80.0,44.0,100.0,60.0,16.0,12.0
qwen_qwen3.6-27b,student_c,Q4,50,3.0,0.0,100.0,0.0,24.0,0.0,0.0,0.0
qwen_qwen3.6-27b,student_c,Q5,50,3.0,0.0,100.0,0.0,2.0,0.0,16.0,0.0
qwen_qwen3.6-27b,student_c,Q6,50,3.0,0.0,100.0,0.0,96.0,0.0,0.0,0.0
qwen_qwen3.6-27b,student_c,Q7,50,2.0,0.0,64.0,46.0,100.0,100.0,28.0,28.0
qwen_qwen3.6-27b,student_c,Q8,50,2.04,0.198,86.0,12.0,100.0,96.0,10.0,6.0
qwen_qwen3.6-27b,student_c,Q9,50,2.24,0.431,98.0,8.0,94.0,74.0,20.0,14.0
qwen_qwen3.6-27b,student_d,Q1,50,1.98,0.141,100.0,2.0,0.0,0.0,100.0,100.0
qwen_qwen3.6-27b,student_d,Q10,43,0.0,0.0,97.7,100.0,69.8,69.8,0.0,0.0
qwen_qwen3.6-27b,student_d,Q2,50,2.0,0.0,98.0,2.0,100.0,98.0,14.0,90.0
qwen_qwen3.6-27b,student_d,Q3,50,1.24,0.431,80.0,72.0,94.0,92.0,26.0,26.0
qwen_qwen3.6-27b,student_d,Q4,50,2.98,0.141,100.0,2.0,70.0,0.0,2.0,0.0
qwen_qwen3.6-27b,student_d,Q5,50,3.0,0.0,100.0,2.0,58.0,0.0,54.0,0.0
qwen_qwen3.6-27b,student_d,Q6,50,2.98,0.141,100.0,2.0,62.0,0.0,54.0,0.0
qwen_qwen3.6-27b,student_d,Q7,48,0.0,0.0,100.0,100.0,81.2,81.2,4.2,4.2
qwen_qwen3.6-27b,student_d,Q8,50,0.0,0.0,100.0,100.0,62.0,62.0,6.0,6.0
qwen_qwen3.6-27b,student_d,Q9,49,1.143,0.791,100.0,14.3,51.0,49.0,75.5,75.5
qwen_qwen3.6-27b,student_e,Q1,50,2.0,0.0,100.0,96.0,32.0,32.0,92.0,0.0
qwen_qwen3.6-27b,student_e,Q10,50,1.18,0.388,92.0,60.0,94.0,84.0,90.0,90.0
qwen_qwen3.6-27b,student_e,Q2,50,2.0,0.0,100.0,56.0,52.0,28.0,42.0,42.0
qwen_qwen3.6-27b,student_e,Q3,50,1.0,0.0,88.0,66.0,100.0,94.0,8.0,8.0
qwen_qwen3.6-27b,student_e,Q4,50,3.0,0.0,100.0,0.0,98.0,0.0,0.0,0.0
qwen_qwen3.6-27b,student_e,Q5,50,3.0,0.0,100.0,0.0,26.0,0.0,82.0,2.0
qwen_qwen3.6-27b,student_e,Q6,50,3.0,0.0,100.0,0.0,90.0,0.0,38.0,0.0
qwen_qwen3.6-27b,student_e,Q7,50,3.0,0.0,78.0,0.0,98.0,0.0,20.0,0.0
qwen_qwen3.6-27b,student_e,Q8,50,3.0,0.0,94.0,0.0,98.0,2.0,32.0,14.0
qwen_qwen3.6-27b,student_e,Q9,50,3.0,0.0,100.0,0.0,32.0,0.0,90.0,34.0
qwen_qwen3.6-27b,student_f,Q1,50,2.0,0.0,100.0,94.0,46.0,44.0,72.0,0.0
qwen_qwen3.6-27b,student_f,Q10,50,2.0,0.0,80.0,56.0,100.0,92.0,34.0,10.0
qwen_qwen3.6-27b,student_f,Q2,50,2.0,0.0,100.0,80.0,58.0,56.0,16.0,16.0
qwen_qwen3.6-27b,student_f,Q3,50,1.16,0.37,96.0,80.0,96.0,94.0,10.0,10.0
qwen_qwen3.6-27b,student_f,Q4,50,3.0,0.0,98.0,0.0,48.0,0.0,4.0,0.0
qwen_qwen3.6-27b,student_f,Q5,50,3.0,0.0,100.0,0.0,22.0,0.0,28.0,0.0
qwen_qwen3.6-27b,student_f,Q6,50,3.0,0.0,100.0,0.0,40.0,0.0,12.0,0.0
qwen_qwen3.6-27b,student_f,Q7,50,2.98,0.141,78.0,2.0,98.0,4.0,10.0,0.0
qwen_qwen3.6-27b,student_f,Q8,50,3.0,0.0,98.0,0.0,78.0,0.0,10.0,0.0
qwen_qwen3.6-27b,student_f,Q9,50,3.0,0.0,100.0,0.0,76.0,0.0,82.0,0.0
qwen_qwen3.6-27b,student_g,Q1,50,2.0,0.0,92.0,92.0,0.0,0.0,28.0,0.0
qwen_qwen3.6-27b,student_g,Q10,50,2.022,0.147,62.0,42.0,92.0,68.0,52.0,38.0
qwen_qwen3.6-27b,student_g,Q2,50,2.0,0.0,92.0,40.0,48.0,4.0,52.0,52.0
qwen_qwen3.6-27b,student_g,Q3,50,3.0,0.0,82.0,0.0,92.0,0.0,0.0,0.0
qwen_qwen3.6-27b,student_g,Q4,50,3.0,0.0,92.0,0.0,12.0,0.0,0.0,0.0
qwen_qwen3.6-27b,student_g,Q5,50,3.0,0.0,92.0,0.0,2.0,0.0,2.0,0.0
qwen_qwen3.6-27b,student_g,Q6,50,3.0,0.0,92.0,0.0,88.0,0.0,2.0,0.0
qwen_qwen3.6-27b,student_g,Q7,50,2.652,0.482,86.0,54.0,92.0,18.0,8.0,8.0
qwen_qwen3.6-27b,student_g,Q8,50,1.652,0.482,64.0,0.0,92.0,92.0,22.0,0.0
qwen_qwen3.6-27b,student_g,Q9,50,3.0,0.0,92.0,0.0,10.0,0.0,2.0,0.0
qwen_qwen3.6-27b,student_h,Q1,50,2.0,0.0,100.0,18.0,84.0,84.0,14.0,0.0
qwen_qwen3.6-27b,student_h,Q10,50,0.98,0.141,72.0,56.0,100.0,100.0,52.0,48.0
qwen_qwen3.6-27b,student_h,Q2,50,2.0,0.0,98.0,4.0,94.0,82.0,20.0,92.0
qwen_qwen3.6-27b,student_h,Q3,50,2.94,0.24,100.0,6.0,100.0,6.0,0.0,0.0
qwen_qwen3.6-27b,student_h,Q4,50,3.0,0.0,100.0,0.0,2.0,0.0,0.0,0.0
qwen_qwen3.6-27b,student_h,Q5,50,3.0,0.0,100.0,0.0,36.0,0.0,48.0,0.0
qwen_qwen3.6-27b,student_h,Q6,50,2.02,0.141,96.0,2.0,96.0,96.0,4.0,4.0
qwen_qwen3.6-27b,student_h,Q7,50,1.8,0.404,54.0,38.0,98.0,88.0,44.0,46.0
qwen_qwen3.6-27b,student_h,Q8,50,1.0,0.0,46.0,28.0,100.0,100.0,24.0,24.0
qwen_qwen3.6-27b,student_h,Q9,50,1.36,0.485,80.0,22.0,96.0,96.0,18.0,16.0
qwen_qwen3.6-27b,student_i,Q1,50,2.0,0.0,98.0,76.0,54.0,54.0,76.0,0.0
qwen_qwen3.6-27b,student_i,Q10,50,2.0,0.0,50.0,20.0,98.0,70.0,94.0,94.0
qwen_qwen3.6-27b,student_i,Q2,50,2.0,0.0,98.0,24.0,36.0,12.0,72.0,72.0
qwen_qwen3.6-27b,student_i,Q3,50,1.0,0.0,98.0,88.0,94.0,92.0,16.0,16.0
qwen_qwen3.6-27b,student_i,Q4,50,3.0,0.0,98.0,0.0,40.0,0.0,0.0,0.0
qwen_qwen3.6-27b,student_i,Q5,50,3.0,0.0,98.0,0.0,16.0,0.0,12.0,0.0
qwen_qwen3.6-27b,student_i,Q6,50,3.0,0.0,98.0,0.0,34.0,0.0,10.0,0.0
qwen_qwen3.6-27b,student_i,Q7,50,3.0,0.0,36.0,0.0,96.0,0.0,8.0,0.0
qwen_qwen3.6-27b,student_i,Q8,50,3.0,0.0,98.0,0.0,50.0,0.0,8.0,0.0
qwen_qwen3.6-27b,student_i,Q9,50,3.0,0.0,98.0,0.0,20.0,0.0,10.0,0.0
qwen_qwen3.6-27b,student_j,Q1,50,3.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
qwen_qwen3.6-27b,student_j,Q10,50,3.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
qwen_qwen3.6-27b,student_j,Q2,50,2.0,0.0,100.0,0.0,4.0,2.0,100.0,100.0
qwen_qwen3.6-27b,student_j,Q3,50,3.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0
qwen_qwen3.6-27b,student_j,Q4,50,3.0,0.0,100.0,0.0,26.0,0.0,0.0,0.0
qwen_qwen3.6-27b,student_j,Q5,50,3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
qwen_qwen3.6-27b,student_j,Q6,50,3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
qwen_qwen3.6-27b,student_j,Q7,50,3.0,0.0,44.0,0.0,100.0,0.0,0.0,0.0
qwen_qwen3.6-27b,student_j,Q8,50,3.0,0.0,100.0,0.0,2.0,0.0,0.0,0.0
qwen_qwen3.6-27b,student_j,Q9,50,3.0,0.0,100.0,0.0,4.0,0.0,32.0,0.0
