student,question,n_runs,mean_score,score_sd,CodeExecution_mention_pct,CodeExecution_deduction_pct,ProcessFidelity_mention_pct,ProcessFidelity_deduction_pct,OutputAccuracy_mention_pct,OutputAccuracy_deduction_pct
student_h,Q6,50,2.2,0.404,100.0,72.0,100.0,76.0,0.0,0.0
student_h,Q7,50,2.0,0.0,94.0,18.0,100.0,100.0,6.0,6.0
student_h,Q8,50,2.6,0.495,100.0,20.0,100.0,40.0,12.0,0.0
student_h,Q9,50,2.49,0.505,96.0,8.0,94.0,48.0,8.0,0.0
student_i,Q1,50,2.57,0.463,100.0,34.0,94.0,34.0,42.0,0.0
student_i,Q10,50,2.15,0.307,92.0,2.0,100.0,32.0,100.0,98.0
student_i,Q2,50,2.0,0.0,100.0,40.0,98.0,88.0,2.0,2.0
student_i,Q3,50,1.07,0.175,100.0,100.0,100.0,72.0,2.0,2.0
student_i,Q4,50,2.05,0.152,100.0,90.0,74.0,36.0,0.0,0.0
student_i,Q5,50,3.0,0.0,96.0,0.0,70.0,0.0,32.0,0.0
student_i,Q6,50,3.0,0.0,98.0,0.0,100.0,0.0,26.0,0.0
student_i,Q7,50,3.0,0.0,100.0,0.0,100.0,0.0,10.0,0.0
student_i,Q8,50,3.0,0.0,98.0,0.0,72.0,0.0,10.0,0.0
student_i,Q9,50,3.0,0.0,100.0,0.0,98.0,0.0,24.0,0.0
student_j,Q1,50,3.0,0.0,100.0,0.0,58.0,0.0,56.0,0.0
student_j,Q10,50,2.939,0.242,88.0,0.0,98.0,0.0,92.0,84.0
student_j,Q2,50,2.0,0.0,100.0,34.0,98.0,78.0,0.0,0.0
student_j,Q3,50,2.64,0.485,100.0,22.0,100.0,36.0,2.0,0.0
student_j,Q4,50,3.0,0.0,100.0,0.0,38.0,0.0,2.0,0.0
student_j,Q5,50,3.0,0.0,98.0,0.0,28.0,0.0,2.0,0.0
student_j,Q6,50,3.0,0.0,100.0,0.0,90.0,0.0,2.0,0.0
student_j,Q7,50,3.0,0.0,98.0,0.0,100.0,0.0,6.0,0.0
student_j,Q8,50,3.0,0.0,100.0,0.0,94.0,0.0,2.0,0.0
student_j,Q9,50,3.0,0.0,98.0,0.0,96.0,0.0,68.0,0.0
