grading_model,student,run,question,score,CodeExecution_mentioned,CodeExecution_deducted,ProcessFidelity_mentioned,ProcessFidelity_deducted,OutputAccuracy_mentioned,OutputAccuracy_deducted
qwen_qwen3.6-27b,student_a,6,Q3,1.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,6,Q4,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,6,Q5,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,6,Q6,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,6,Q7,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,6,Q8,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,6,Q9,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,6,Q10,2.0,True,False,True,False,True,True
qwen_qwen3.6-27b,student_a,7,Q1,2.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,7,Q2,2.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,7,Q3,1.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,7,Q4,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,7,Q5,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,7,Q6,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,7,Q7,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,7,Q8,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,7,Q9,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,7,Q10,2.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,8,Q1,2.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,8,Q2,2.0,True,False,False,False,True,True
qwen_qwen3.6-27b,student_a,8,Q3,1.0,True,False,True,True,False,False
qwen_qwen3.6-27b,student_a,8,Q4,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,8,Q5,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,8,Q6,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,8,Q7,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,8,Q8,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,8,Q9,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,8,Q10,2.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,9,Q1,2.0,True,False,True,True,True,False
qwen_qwen3.6-27b,student_a,9,Q2,2.0,True,False,False,False,True,True
qwen_qwen3.6-27b,student_a,9,Q3,1.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,9,Q4,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,9,Q5,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,9,Q6,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,9,Q7,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,9,Q8,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,9,Q9,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,9,Q10,3.0,True,False,True,False,True,False
qwen_qwen3.6-27b,student_a,10,Q1,2.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,10,Q2,2.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,10,Q3,1.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,10,Q4,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,10,Q5,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,10,Q6,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,10,Q7,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,10,Q8,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,10,Q9,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,10,Q10,2.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,11,Q1,2.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,11,Q2,2.0,True,False,False,False,True,True
qwen_qwen3.6-27b,student_a,11,Q3,1.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,11,Q4,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,11,Q5,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,11,Q6,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,11,Q7,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,11,Q8,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,11,Q9,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,11,Q10,3.0,True,False,True,False,True,False
qwen_qwen3.6-27b,student_a,12,Q1,2.0,True,False,True,True,False,False
qwen_qwen3.6-27b,student_a,12,Q2,2.0,True,False,False,False,True,True
qwen_qwen3.6-27b,student_a,12,Q3,1.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,12,Q4,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,12,Q5,3.0,True,False,False,False,True,False
qwen_qwen3.6-27b,student_a,12,Q6,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,12,Q7,3.0,True,False,True,False,True,False
qwen_qwen3.6-27b,student_a,12,Q8,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,12,Q9,3.0,True,False,True,False,True,False
qwen_qwen3.6-27b,student_a,12,Q10,2.0,True,False,True,False,True,True
qwen_qwen3.6-27b,student_a,13,Q1,2.0,True,False,True,True,True,False
qwen_qwen3.6-27b,student_a,13,Q2,2.0,True,False,False,False,True,True
qwen_qwen3.6-27b,student_a,13,Q3,1.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,13,Q4,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,13,Q5,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,13,Q6,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,13,Q7,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,13,Q8,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,13,Q9,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,13,Q10,3.0,True,False,True,False,True,False
qwen_qwen3.6-27b,student_a,14,Q1,2.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,14,Q2,2.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,14,Q3,1.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,14,Q4,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,14,Q5,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,14,Q6,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,14,Q7,3.0,True,False,True,False,True,True
qwen_qwen3.6-27b,student_a,14,Q8,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,14,Q9,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,14,Q10,2.0,True,False,True,True,False,False
qwen_qwen3.6-27b,student_a,15,Q1,2.0,True,False,True,True,True,False
qwen_qwen3.6-27b,student_a,15,Q2,2.0,True,False,False,False,True,True
qwen_qwen3.6-27b,student_a,15,Q3,1.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,15,Q4,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,15,Q5,3.0,True,False,False,False,True,False
qwen_qwen3.6-27b,student_a,15,Q6,3.0,True,False,True,False,True,False
qwen_qwen3.6-27b,student_a,15,Q7,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,15,Q8,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,15,Q9,3.0,True,False,False,False,True,False
qwen_qwen3.6-27b,student_a,15,Q10,3.0,False,False,True,False,True,False
qwen_qwen3.6-27b,student_a,16,Q1,2.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,16,Q2,2.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,16,Q3,1.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,16,Q4,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,16,Q5,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,16,Q6,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,16,Q7,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,16,Q8,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,16,Q9,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,16,Q10,3.0,False,False,True,False,True,False
qwen_qwen3.6-27b,student_a,17,Q1,2.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,17,Q2,2.0,True,False,False,False,True,True
qwen_qwen3.6-27b,student_a,17,Q3,1.0,True,False,True,True,False,False
qwen_qwen3.6-27b,student_a,17,Q4,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,17,Q5,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,17,Q6,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,17,Q7,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,17,Q8,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,17,Q9,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,17,Q10,2.0,True,True,True,False,True,True
qwen_qwen3.6-27b,student_a,18,Q1,1.0,True,False,True,True,True,False
qwen_qwen3.6-27b,student_a,18,Q2,2.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,18,Q3,1.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,18,Q4,3.0,True,False,True,False,True,False
qwen_qwen3.6-27b,student_a,18,Q5,3.0,True,False,True,False,True,False
qwen_qwen3.6-27b,student_a,18,Q6,3.0,True,False,True,False,True,False
qwen_qwen3.6-27b,student_a,18,Q7,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,18,Q8,3.0,True,False,True,False,True,False
qwen_qwen3.6-27b,student_a,18,Q9,3.0,True,False,True,False,True,False
qwen_qwen3.6-27b,student_a,18,Q10,3.0,True,False,True,False,True,False
qwen_qwen3.6-27b,student_a,19,Q1,2.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,19,Q2,2.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,19,Q3,1.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,19,Q4,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,19,Q5,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,19,Q6,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,19,Q7,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,19,Q8,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,19,Q9,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,19,Q10,3.0,False,False,True,False,True,False
qwen_qwen3.6-27b,student_a,20,Q1,2.0,True,False,True,True,True,False
qwen_qwen3.6-27b,student_a,20,Q2,2.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,20,Q3,1.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,20,Q4,3.0,True,False,True,False,True,False
qwen_qwen3.6-27b,student_a,20,Q5,3.0,True,False,True,False,True,False
qwen_qwen3.6-27b,student_a,20,Q6,3.0,True,False,True,False,True,False
qwen_qwen3.6-27b,student_a,20,Q7,3.0,True,False,True,False,True,False
qwen_qwen3.6-27b,student_a,20,Q8,3.0,True,False,True,False,True,False
qwen_qwen3.6-27b,student_a,20,Q9,3.0,True,False,True,False,True,False
qwen_qwen3.6-27b,student_a,20,Q10,3.0,True,False,True,False,True,False
qwen_qwen3.6-27b,student_a,21,Q1,2.0,True,False,True,True,True,False
qwen_qwen3.6-27b,student_a,21,Q2,2.0,True,False,False,False,True,True
qwen_qwen3.6-27b,student_a,21,Q3,1.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,21,Q4,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,21,Q5,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,21,Q6,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,21,Q7,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,21,Q8,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,21,Q9,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,21,Q10,3.0,False,False,True,False,True,False
qwen_qwen3.6-27b,student_a,22,Q1,2.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,22,Q2,2.0,True,False,False,False,True,True
qwen_qwen3.6-27b,student_a,22,Q3,1.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,22,Q4,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,22,Q5,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,22,Q6,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,22,Q7,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,22,Q8,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,22,Q9,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,22,Q10,2.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,23,Q1,2.0,True,False,True,True,True,False
qwen_qwen3.6-27b,student_a,23,Q2,2.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,23,Q3,1.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,23,Q4,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,23,Q5,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,23,Q6,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,23,Q7,3.0,True,False,True,False,True,True
qwen_qwen3.6-27b,student_a,23,Q8,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,23,Q9,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,23,Q10,2.0,True,False,True,False,True,True
qwen_qwen3.6-27b,student_a,24,Q1,2.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,24,Q2,2.0,True,False,False,False,True,True
qwen_qwen3.6-27b,student_a,24,Q3,1.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,24,Q4,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,24,Q5,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,24,Q6,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,24,Q7,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,24,Q8,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,24,Q9,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,24,Q10,3.0,True,False,True,False,True,False
qwen_qwen3.6-27b,student_a,25,Q1,2.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,25,Q2,2.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,25,Q3,1.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,25,Q4,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,25,Q5,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,25,Q6,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,25,Q7,2.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,25,Q8,2.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,25,Q9,2.0,True,False,True,False,True,True
qwen_qwen3.6-27b,student_a,25,Q10,1.0,False,False,True,True,False,False
qwen_qwen3.6-27b,student_a,26,Q1,2.0,True,False,True,True,True,False
qwen_qwen3.6-27b,student_a,26,Q2,2.0,True,False,False,False,True,True
qwen_qwen3.6-27b,student_a,26,Q3,1.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,26,Q4,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,26,Q5,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,26,Q6,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,26,Q7,3.0,True,False,True,False,True,False
qwen_qwen3.6-27b,student_a,26,Q8,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,26,Q9,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,26,Q10,2.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,27,Q1,2.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,27,Q2,2.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,27,Q3,1.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,27,Q4,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,27,Q5,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,27,Q6,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,27,Q7,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,27,Q8,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,27,Q9,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,27,Q10,3.0,True,False,True,False,True,False
qwen_qwen3.6-27b,student_a,28,Q1,2.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,28,Q2,2.0,True,False,False,False,True,True
qwen_qwen3.6-27b,student_a,28,Q3,1.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,28,Q4,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,28,Q5,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,28,Q6,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,28,Q7,3.0,True,False,True,False,True,False
qwen_qwen3.6-27b,student_a,28,Q8,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,28,Q9,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,28,Q10,2.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,29,Q1,2.0,True,False,True,True,True,False
qwen_qwen3.6-27b,student_a,29,Q2,2.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,29,Q3,1.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,29,Q4,3.0,True,False,True,False,True,False
qwen_qwen3.6-27b,student_a,29,Q5,3.0,True,False,True,False,True,False
qwen_qwen3.6-27b,student_a,29,Q6,3.0,True,False,True,False,True,False
qwen_qwen3.6-27b,student_a,29,Q7,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,29,Q8,3.0,True,False,True,False,True,False
qwen_qwen3.6-27b,student_a,29,Q9,3.0,True,False,True,False,True,False
qwen_qwen3.6-27b,student_a,29,Q10,3.0,True,False,True,False,True,False
qwen_qwen3.6-27b,student_a,30,Q1,2.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,30,Q2,2.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,30,Q3,1.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,30,Q4,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,30,Q5,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,30,Q6,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,30,Q7,3.0,True,False,True,False,True,True
qwen_qwen3.6-27b,student_a,30,Q8,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,30,Q9,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,30,Q10,2.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,31,Q1,2.0,True,False,True,True,True,False
qwen_qwen3.6-27b,student_a,31,Q2,2.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,31,Q3,1.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,31,Q4,3.0,True,False,True,False,True,False
qwen_qwen3.6-27b,student_a,31,Q5,3.0,True,False,True,False,True,False
qwen_qwen3.6-27b,student_a,31,Q6,3.0,True,False,True,False,True,False
qwen_qwen3.6-27b,student_a,31,Q7,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,31,Q8,3.0,True,False,True,False,True,False
qwen_qwen3.6-27b,student_a,31,Q9,3.0,True,False,True,False,True,False
qwen_qwen3.6-27b,student_a,31,Q10,3.0,True,False,True,False,True,False
qwen_qwen3.6-27b,student_a,32,Q1,2.0,True,False,True,True,False,False
qwen_qwen3.6-27b,student_a,32,Q2,2.0,True,False,False,False,True,True
qwen_qwen3.6-27b,student_a,32,Q3,1.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,32,Q4,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,32,Q5,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,32,Q6,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,32,Q7,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,32,Q8,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,32,Q9,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,32,Q10,3.0,False,False,True,False,True,False
qwen_qwen3.6-27b,student_a,33,Q1,2.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,33,Q2,2.0,True,False,False,False,True,True
qwen_qwen3.6-27b,student_a,33,Q3,1.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,33,Q4,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,33,Q5,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,33,Q6,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,33,Q7,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,33,Q8,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,33,Q9,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,33,Q10,2.0,True,False,False,False,True,True
qwen_qwen3.6-27b,student_a,34,Q1,2.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,34,Q2,2.0,True,False,False,False,True,True
qwen_qwen3.6-27b,student_a,34,Q3,1.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,34,Q4,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,34,Q5,3.0,True,False,False,False,True,False
qwen_qwen3.6-27b,student_a,34,Q6,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,34,Q7,3.0,True,False,True,False,True,True
qwen_qwen3.6-27b,student_a,34,Q8,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,34,Q9,3.0,True,False,False,False,False,False
qwen_qwen3.6-27b,student_a,34,Q10,3.0,True,False,True,False,True,False
qwen_qwen3.6-27b,student_a,35,Q1,2.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,35,Q2,2.0,True,False,False,False,True,True
qwen_qwen3.6-27b,student_a,35,Q3,1.0,True,False,True,True,True,True
qwen_qwen3.6-27b,student_a,35,Q4,3.0,True,False,True,False,False,False
qwen_qwen3.6-27b,student_a,35,Q5,3.0,True,False,False,False,True,False
